"revAll.address","useful.m.place_full_name","useful.m.place_name"
"659 Danover Rd, Katy, TX 77494, USA","Katy, TX","Katy"
"Waterfront Trail, Ajax, ON L1S 3Z3, Canada","Pickering, Ontario","Pickering"
"Av Paseo de los Leones 1913, Cumbres 1º. Sector Secc a, 64610 Monterrey, N.L., Mexico","Monterrey, Nuevo León","Monterrey"
"1013 Marquette Dr, Normal, IL 61761, USA","Normal, IL","Normal"
"Unnamed Road, Morgans Pass, Jamaica","Jamaica","Jamaica"
"11299 Owings Mills Blvd, Owings Mills, MD 21117, USA","Owings Mills, MD","Owings Mills"
"200 Massachusetts Ave NW, Washington, DC 20001, USA","Washington, DC","Washington"
"17925 Twelve Mile Rd, Roseville, MI 48066, USA","Roseville, MI","Roseville"
"618 Sherwood Dr, Salinas, CA 93906, USA","Salinas, CA","Salinas"
"1374 Belmar Dr, Louisville, KY 40213, USA","Louisville, KY","Louisville"
"5670 Rising Sun Ave, Philadelphia, PA 19120, USA","Philadelphia, PA","Philadelphia"
"417 Eugene Rd, Eugene, MO 65032, USA","Missouri, USA","Missouri"
"543 Blessington Rd, Corbyville, ON K0K 1V0, Canada","Belleville, Ontario","Belleville"
"3301-3311 Savoy St NW, Knoxville, TN 37921, USA","Knoxville, TN","Knoxville"
"Unnamed Road, Morgans Pass, Jamaica","Jamaica","Jamaica"
"9th Ave, Rochelle, IL 61068, USA","Rochelle, IL","Rochelle"
"11010 Rockaway Blvd, Jamaica, NY 11420, USA","Queens, NY","Queens"
"Peckham Hollow Rd, Georgetown, NY 13072, USA","New York, USA","New York"
"Unnamed Road, Morgans Pass, Jamaica","Jamaica","Jamaica"
"451-481 NW 17th Pl, Fort Lauderdale, FL 33311, USA","Fort Lauderdale, FL","Fort Lauderdale"
"I-71, Columbus, OH 43211, USA","Columbus, OH","Columbus"
"Unnamed Road, Beech Creek, PA 16822, USA","Pennsylvania, USA","Pennsylvania"
"14 W Main St, New Albany, OH 43054, USA","New Albany, OH","New Albany"
"428 E 1st St, Boston, MA 02127, USA","Boston, MA","Boston"
